Trigram,Frequency
Eh niña nu,1
niña nu wa,1
Cambie de phone,1
Y no tengo,1
no tengo stickers,1
"Nah , nomas",1
", nomas ya",1
nomas ya quería,1
ya quería cambiar,1
quería cambiar de,1
cambiar de número,1
Ya hacía falta,1
Muchos números desconocidos,1
números desconocidos me,1
desconocidos me marcaban,1
Chicas con falta,1
con falta de,1
falta de atención,1
Como me gustan,1
Niña nu wa,1
Ocupo sus mejores,1
sus mejores stickers,1
mejores stickers de,1
stickers de michis,1
Solo tengo este,1
Más más más,1
Ese es buenísimo,1
Por cierto ya,1
cierto ya duérmase,1
Mamás eso va,1
eso va a,1
va a hacer,1
a hacer que,1
hacer que se,1
que se te,1
se te despare,1
Ya veo dijo,1
veo dijo el,1
dijo el ciego,1
Ve y chinga,1
y chinga a,1
chinga a tu,1
a tu madre,1
Te odio pero,1
odio pero con,1
pero con cariño,1
Lo que te,1
que te dije,1
te dije la,1
dije la primera,1
la primera vez,1
primera vez que,1
vez que hablamos,1
que hablamos por,1
hablamos por whattsap,1
por whattsap no,1
whattsap no fue,1
no fue mentira,1
Todo es real,1
Eh ? ?,2
? ? ?,1
Porque verde =,1
verde = negro,1
= negro ?,1
Que cosas no,1
cosas no ?,1
Mira tengo una,1
tengo una foto,1
una foto tuya,1
No pues cada,1
pues cada quien,1
Mis amigos dicen,1
amigos dicen que,1
dicen que cuando,1
que cuando estoy,1
cuando estoy borracho,1
estoy borracho soy,1
borracho soy este,1
Que porque según,1
porque según entre,1
según entre cierro,1
entre cierro los,1
cierro los ojos,1
Que opinas ?,1
Creo que no,1
Solo el único,1
el único video,1
único video que,1
video que te,1
que te pase,1
Se llama salem,1
"Nahh , nunca",1
", nunca he",1
nunca he hecho,1
he hecho algo,1
hecho algo así,1
Esa si eres,1
si eres tu,1
Porque le tomas,1
le tomas fotos,1
tomas fotos mientes,1
fotos mientes se,1
mientes se la,1
se la jala,1
la jala ?,1
No lo respetas,1
Se que lo,1
que lo se,1
lo se siente,1
Y no es,1
no es coll,1
Cual de todos,1
de todos los,1
todos los papás,1
los papás ?,1
No le mientas,1
le mientas al,1
mientas al niño,1
Dicho por ti,1
De verdad te,1
verdad te voy,1
te voy a,1
voy a agarrar,1
a agarrar a,1
agarrar a putazos,1
Yo soy soy,1
soy soy pendejo,1
Tienes fotos de,1
fotos de el,1
de el ?,1
Ay lo siento,1
lo siento mucho,3
"siento mucho ,",1
"mucho , de",1
", de verdad",1
de verdad lo,1
verdad lo siento,3
Tuvo una vida,1
una vida larga,1
vida larga y,1
larga y probablemente,1
y probablemente llena,1
probablemente llena de,1
llena de amor,1
Que bonitoooo con,1
bonitoooo con su,1
con su correa,1
Es lo mas,1
lo mas difícil,1
mas difícil de,1
difícil de tener,1
de tener un,1
tener un amigo,1
un amigo así,1
"amigo así ,",1
"así , no",1
", no ?",1
no ? ?,1
"Me imagino ,",1
"imagino , 15",1
", 15 años",1
15 años ...,1
años ... creció,1
... creció prácticamente,1
creció prácticamente contigo,1
De verdad lo,2
Me imagino lo,1
imagino lo doloroso,1
lo doloroso qué,1
doloroso qué fue,1
qué fue pero,1
fue pero al,1
pero al menos,1
al menos tienes,1
